City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,78.55,91,53,5.01,EC,1685588377
1,Georgetown,5.4112,100.3354,89.55,70,40,4.61,MY,1685588362
2,Faanui,-16.4833,-151.75,77.67,64,3,16.04,PF,1685588406
3,Okhotsk,59.3833,143.3,56.66,54,100,15.39,RU,1685588376
4,Atuona,-9.8,-139.0333,80.49,77,98,11.05,PF,1685588376
5,Huadian,42.9633,126.7478,77.85,37,0,14.74,CN,1685588931
6,Sorland,67.667,12.6934,40.86,56,93,20.69,NO,1685588455
7,Vaini,-21.2,-175.2,77.16,88,75,11.5,TO,1685588372
8,Nikolskoye,59.7035,30.7861,50.81,70,95,2.91,RU,1685588383
9,Kruisfontein,-34.0033,24.7314,52.41,74,0,5.99,ZA,1685588442
10,Butaritari,3.0707,172.7902,83.86,74,100,8.57,KI,1685588368
11,New Norfolk,-42.7826,147.0587,53.1,62,22,10.0,AU,1685588377
12,Katsuura,35.1333,140.3,71.04,60,83,11.27,JP,1685588464
13,Mataura,-46.1927,168.8643,58.23,66,67,8.14,NZ,1685588367
14,Bouca,6.5105,18.2733,69.24,94,100,3.15,CF,1685588933
15,Tasiilaq,65.6145,-37.6368,35.76,100,100,3.2,GL,1685588479
16,Cape Town,-33.9258,18.4232,59.92,90,75,5.01,ZA,1685588100
17,Lompoc,34.6391,-120.4579,58.78,81,100,13.8,US,1685588454
18,Rikitea,-23.1203,-134.9692,77.72,83,100,30.44,PF,1685588369
19,Punta Arenas,-53.15,-70.9167,41.11,87,20,9.22,CL,1685588372
20,Constitucion,-35.3333,-72.4167,57.31,84,100,4.88,CL,1685588527
21,Ozernovskiy,51.5,156.5167,37.18,96,100,1.72,RU,1685588933
22,Ushuaia,-54.8,-68.3,38.86,87,40,5.75,AR,1685588375
23,Barrow,71.2906,-156.7887,28.42,80,100,13.8,US,1685588368
24,Kati,12.7441,-8.0726,78.21,49,96,9.28,ML,1685588934
25,Pevek,69.7008,170.3133,30.63,70,99,10.0,RU,1685588371
26,Gat,31.61,34.7642,75.4,27,8,5.41,IL,1685588471
27,Arraial Do Cabo,-22.9661,-42.0278,69.33,92,84,12.3,BR,1685588377
28,Airai,-8.9266,125.4092,73.29,41,22,3.71,TL,1685588384
29,Lima,-12.0432,-77.0282,70.05,82,100,11.5,PE,1685588402
30,Dikson,73.5069,80.5464,35.55,91,100,13.2,RU,1685588375
31,Deputatskiy,69.3,139.9,37.58,66,46,4.74,RU,1685588445
32,Zhangjiakou,40.81,114.8794,71.56,23,96,22.1,CN,1685588935
33,Busselton,-33.65,115.3333,60.53,64,54,11.5,AU,1685588376
34,Bluff,-46.6,168.3333,57.9,70,60,18.68,NZ,1685588369
35,Richards Bay,-28.783,32.0377,63.99,88,92,14.43,ZA,1685588637
36,Araouane,18.9048,-3.5265,85.12,13,96,8.77,ML,1685588936
37,Bredasdorp,-34.5322,20.0403,58.95,93,100,5.97,ZA,1685588386
38,Iqaluit,63.7506,-68.5145,29.93,74,100,23.02,CA,1685588368
39,Henderson,36.0397,-114.9819,84.07,18,0,6.91,US,1685588835
40,Albany,42.6001,-73.9662,68.59,58,0,1.01,US,1685588371
41,Mineiros,-17.5694,-52.5511,62.44,93,12,2.37,BR,1685588299
42,Hualmay,-11.0964,-77.6139,69.24,81,8,7.9,PE,1685588937
43,Mbeya,-8.9,33.45,52.21,87,10,5.19,TZ,1685588937
44,Saint-Philippe,-21.3585,55.7679,67.59,76,37,7.47,RE,1685588392
45,Flinders,-34.5833,150.8552,74.05,62,61,3.0,AU,1685588631
46,Montbrison,45.6667,4.0833,55.67,90,6,2.3,FR,1685588937
47,Mar Del Plata,-38.0023,-57.5575,56.08,90,0,9.22,AR,1685588374
48,East London,-33.0153,27.9116,61.41,51,100,4.21,ZA,1685588375
49,Xunchang,28.4543,104.715,71.15,87,100,0.92,CN,1685588937
50,Haradok,55.4624,29.9816,46.51,91,8,6.93,BY,1685588938
51,Hithadhoo,-0.6,73.0833,82.87,71,100,9.48,MV,1685588388
52,Jamestown,42.097,-79.2353,73.04,60,0,9.22,US,1685588370
53,Jurilovca,44.7667,28.8667,60.89,67,37,9.6,RO,1685588938
54,Hobart,-42.8794,147.3294,53.46,61,20,19.57,AU,1685588378
